"","random_sample1","random_sample2","random_sample3","random_sample4","random_sample5","random_sample6","random_sample7","random_sample8","random_sample9","random_sample10"
"DRD4",4,0,0,4,0,0,4,0,58,58
"LMNTD2",4,26,300,291,281,1,51,24,44,162
"HRAS",1113,426,1028,772,828,400,537,764,519,1014
"CDHR5",167,452,621,159,1008,926,770,176,420,388
"MIR210HG",71,160,112,57,241,77,172,52,111,112
"IRF7",405,451,273,412,451,245,440,305,220,501
"LOC143666",16,6,41,35,17,15,14,13,92,58
"MIR210",0,0,0,0,0,0,0,0,2,0
"PDDC1",503,335,630,323,255,587,469,248,457,969
"TMEM80",1400,2545,2166,908,1901,1726,1441,1667,1803,1487
"EPS8L2",1275,2403,3122,1825,2019,1120,1678,1072,2985,3417
"TALDO1",14060,13966,9727,18201,12924,20525,14837,20844,14379,18336
"NS3BP",16,178,63,16,32,8,49,25,85,25
"CHID1",7996,7299,8067,5029,6062,11483,7277,8633,7089,12830
"POLR2L",12430,13219,12132,10404,11971,13641,12119,11969,13582,17107
"CD151",5418,9971,11471,11565,6757,6825,7989,5254,11559,13504
"SLC25A22",1248,1837,1636,946,1534,1311,2440,1053,1931,1528
"PIDD1",113,635,449,148,396,184,329,249,384,211
"RPLP2",15964,23378,24149,22705,18821,18892,22095,17411,26041,29883
"CEND1",95,11,226,1,135,150,50,296,466,339
"PNPLA2",1273,3352,4909,4596,3767,2195,3304,1165,3904,5266
"TSPAN4",2227,778,1945,2412,1954,2619,1061,1944,2927,3307
"EFCAB4A",556,841,817,515,561,510,876,397,992,1475
"PANO",24,53,42,23,23,26,20,3,74,19
"SNORA52",32,64,14,69,32,0,22,32,37,37
"AP2A2",1360,1245,1319,589,1620,1227,1919,771,1881,1209
"MUC6",25,48,48,141,55,1,163,7,157,58
"MUC2",0,0,9,0,0,0,0,6,0,0
"MUC5B",0,0,0,0,0,0,0,0,6,0
"MIR6744",0,0,0,0,0,0,0,0,0,0
"TOLLIP-AS1",224,205,307,133,233,96,131,421,92,426
"MOB2",1434,850,1882,1060,1907,543,1019,790,1113,1483
"DUSP8",465,406,490,374,548,742,632,290,551,611
"FAM99A",0,0,0,1,0,0,0,0,0,0
"KRTAP5-AS1",8,16,191,50,12,16,39,5,52,73
"KRTAP5-1",4,11,17,25,18,0,8,19,0,9
"KRTAP5-4",0,0,2,0,0,2,2,0,0,0
"KRTAP5-3",0,0,0,0,0,0,0,0,0,0
"KRTAP5-2",0,0,1,1,1,0,0,0,0,0
"KRTAP5-5",15,47,96,10,88,83,38,35,19,51
"CTSD",233551,111096,130022,338848,106643,294536,266305,281631,188300,145797
"IFITM10",181,686,413,425,801,920,444,1073,438,1472
"FAM99B",0,0,0,0,0,0,0,0,0,0
"KRTAP5-6",0,0,0,0,0,0,0,0,0,0
"TNNT3",0,0,0,0,0,0,0,1,0,0
"SYT8",41,587,678,901,588,255,575,6,327,746
"LSP1",84,96,84,3,3,0,0,188,272,272
"LINC01150",0,0,0,0,0,0,0,2,0,0
"TNNI2",17,18,36,69,150,1,8,0,90,155
"MIR4298",0,0,0,0,0,0,0,0,0,0
"MRPL23",2329,2751,3421,2936,2729,2905,2545,1858,2775,2609
"MIR675",0,0,0,0,0,0,0,0,0,0
"H19",48,2022,284,1245,391,14,1618,11,142,534
"HOTS",0,0,0,0,0,0,0,0,0,0
"MRPL23-AS1",117,42,33,0,81,44,61,126,62,22
"IGF2",13.25,15.5,8.25,13.5,22.5,5.75,11.25,5.5,4.75,10.25
"TH",0,12,4,0,0,0,0,0,0,0
"INS",511175,660182,511879,418622,807940,879501,801175,1117646,319018,908357
"MIR4686",0,0,0,0,0,0,0,0,0,0
"INS-IGF2",0,0,0,0,0,0,0,0,0,0
"IGF2-AS",4,111,27,17,109,5,130,25,1,29
"MIR483",0,0,0,0,0,0,0,0,0,0
"ASCL2",29,45,78,206,261,37,64,82,142,175
"TSPAN32",2,2,0,1,0,0,5,0,0,0
"C11orf21",0,0,0,0,0,0,15,0,0,0
"TSSC4",4886,3094,3016,6556,3240,7091,5421,5831,3796,3153
"CD81",10185,9713,13380,7192,11169,11445,12071,8692,11350,13806
"TRPM5",0,0,171,188,167,0,1,0,0,0
"KCNQ1OT1",2655,3669,3700,6144,2623,3042,3756,5510,3284,3615
"SLC22A18",614,911,1027,1249,634,1291,814,503,1045,1280
"KCNQ1DN",0,0,0,0,0,0,0,0,0,0
"PHLDA2",199,737,639,852,868,744,429,79,640,950
"SLC22A18AS",913,103,211,1089,129,1068,971,1128,486,104
"CDKN1C",1003,1295,2698,1586,1691,2416,1063,1923,1378,2396
"NAP1L4",8954,4706,5901,7742,4933,8434,8473,6984,5746,5571
"SNORA54",9,16,31,8,17,4,24,0,18,2
"CARS",3423,4680,5028,2747,4343,3714,3922,2576,5525,4326
"MRGPRG",0,0,0,0,0,0,0,0,0,8
"MRGPRG-AS1",0,0,0,0,0,0,0,0,0,0
"MRGPRE",0,0,16,0,0,0,5,0,2,3
"ZNF195",1092,1149,879,804,681,1987,614,1012,1616,887
"OR7E12P",13,6,4,2,8,1,12,23,10,8
"ART5",0,1,40,64,36,0,0,0,7,0
"TRPC2",0,0,0,0,0,0,0,0,0,0
"CHRNA10",0,0,218,35,36,0,0,0,10,3
"PGAP2",1012,1080,1547,710,811,422,369,684,853,1242
"RHOG",1864,2139,2285,2517,2174,1968,2000,1800,2488,2922
"MIR4687",0,0,0,0,0,0,0,0,0,0
"RRM1",3948,4022,3916,1535,2936,2858,2211,4462,2377,4801
"LOC100506082",0,0,0,0,0,0,0,0,0,0
"TRIM21",2556,1346,1680,1828,1437,1604,912,2227,1902,2145
"OR52B4",0,0,0,0,0,0,0,0,0,0
"OR52K2",0,0,0,0,0,0,0,0,0,0
"OR52K1",0,0,0,24,0,0,0,0,0,0
"OR52M1",0,0,0,0,0,0,0,0,0,0
"TRIM68",487,218,270,193,535,673,651,517,394,128
"C11orf40",0,0,0,0,0,0,0,0,0,0
"OR51E1",0,0,0,0,0,0,0,0,0,0
"OR51D1",0,0,0,0,0,0,0,0,0,0
"OR52I1",0,0,0,0,0,0,0,0,0,0
"OR52I2",0,0,0,0,0,0,0,0,0,0
"OR52R1",0,0,0,0,0,0,7,0,0,0
"OR51F2",0,0,0,0,0,0,0,0,0,0
"OR51F1",0,0,0,0,0,0,0,0,0,0
"OR51A2",0,0,0,0,0,0,0,0,0,0
"OR51A4",0,0,1,0,0,2,1,1,1,2
"OR51G2",0,0,0,0,0,0,0,0,0,0
"OR51G1",0,0,0,0,0,0,0,1,9,0
"OR51T1",0,0,0,0,0,0,0,0,0,0
"OR51S1",0,0,0,0,0,0,0,0,0,0
"OR51A7",0,0,0,0,0,0,0,0,0,0
"MMP26",0,0,0,0,13,13,0,81,0,0
"OR52E2",0,0,0,0,0,0,0,0,0,0
"OR51L1",0,0,26,0,0,0,0,0,0,0
"OR52J3",0,0,0,0,0,0,0,0,0,0
"OR52A1",0,0,0,0,0,0,0,0,0,0
"OR52A5",0,0,0,0,0,0,0,0,0,0
"OR51V1",0,0,0,0,0,0,0,0,0,0
"HBG1",0,0,0,0,0,0,0,0,0,0
"HBB",0,1,0,1,0,0,0,0,0,0
"HBD",0,0,1,0,0,0,0,0,0,0
"HBG2",0,0,0,0,0,0,0,0,0,0
"HBE1",0,0,0,0,0,0,0,0,0,0
"OR51B4",0,0,0,0,0,0,0,0,0,0
"OR51B2",0,0,0,0,0,0,0,0,0,0
"HBBP1",0,0,0,0,0,0,0,0,0,0
"OR51B6",0,0,0,0,0,0,0,0,0,0
"BGLT3",0,0,0,0,0,0,0,0,0,0
"OR51Q1",0,0,0,0,0,0,0,0,0,0
"OR51M1",0,0,0,0,0,0,0,0,0,0
"OR51I2",0,0,0,0,0,0,0,0,0,0
"OR51I1",0,0,0,0,0,0,0,0,0,0
"TRIM6",10,32,50,8,212,22,0,24,7,365
"UBQLNL",0,0,0,0,0,0,0,0,104,0
"UBQLN3",0,0,0,0,0,0,0,0,0,20
"OR52H1",0,0,0,0,0,0,0,0,0,4
"OR52D1",0,0,0,0,0,0,0,0,0,0
"OR52B6",0,0,0,0,0,0,0,0,0,0
"TRIM22",2324,2554,3448,1510,1592,1466,536,1999,1970,1836
"TRIM34",4,11,1.33333333333333,27.3333333333333,4.33333333333333,1.66666666666667,1.33333333333333,10.6666666666667,8.66666666666667,11.3333333333333
"TRIM5",1218,1488,1488,1696,1716,672,457,398,1168,1680
"OR56B1",0,0,0,0,0,0,0,0,0,0
"OR52N4",0,5,2,0,0,0,0,0,0,0
"OR52N2",0,0,0,0,0,0,0,0,0,0
"OR52E8",0,0,0,0,40,0,0,0,0,0
"OR52E6",0,0,0,0,0,0,0,0,0,0
"OR52N5",0,0,0,0,0,0,0,0,0,0
"OR52N1",0,0,3,3,0,0,0,0,0,3
"OR56A5",0,0,0,0,0,0,0,0,0,0
"OR56A4",0,0,0,0,0,0,0,0,0,0
"OR52E4",0,0,0,0,0,0,0,0,0,0
"OR56A3",0,0,0,0,0,0,0,0,0,0
"OR52L1",0,0,0,0,0,0,0,0,0,0
"OR56A1",0,0,0,0,0,0,0,0,0,0
"OR56B4",0,0,0,0,0,0,0,0,0,0
"FAM160A2",569,618,908,872,828,492,768,376,661,609
"C11orf42",0,0,1,2,0,1,0,1,0,1
"CNGA4",0,0,0,0,0,0,0,0,0,0
"OR52W1",0,0,0,0,0,0,0,0,0,0
"OR52B2",0,0,0,0,1,0,0,0,1,0
"SMPD1",3077,2582,3783,2205,3097,3140,3506,2263,3464,2492
"PRKCDBP",1954,1769,2480,1515,2041,2630,2273,2274,3461,2549
"HPX",103,121,71,89,35,287,53,17,2,182
"TIMM10B",3556,6306,5809,5805,3756,7954,3931,6312,4823,5422
"ARFIP2",4702,5207,6241,3909,4554,5233,4005,3563,4777,6576
"TRIM3",1498,919,774,490,805,795,1588,699,622,1158
"DCHS1",1006,258,801,1156,736,1812,272,334,1505,2310
"ILK",10398,9133,8643,11795,6014,10071,7194,9878,9874,9432
"RRP8",1581,1551,994,1852,996,2451,926,868,2701,1857
"TAF10",1100,2394,3874,2556,2253,2021,2569,1178,2502,2961
"TPP1",17580,18003,17416,21381,17086,21613,18642,25570,17236,24216
"GVINP1",0,8,11,22,24,9,7,0,7,37
"MRPL17",3977,4266,3456,3014,2642,3360,3037,3669,4413,4600
"OR2AG1",0,0,0,0,0,0,0,0,0,0
"OR2AG2",11,1,0,0,0,0,0,0,0,0
"OR10A5",0,0,0,0,0,0,5,0,0,0
"OR6A2",0,0,0,0,0,0,4,0,0,0
"OR2D2",0,0,0,0,0,0,0,0,1,0
"OR10A4",0,0,0,0,0,0,0,0,0,0
"OR2D3",0,0,0,4,0,0,0,0,0,0
"OR10A2",0,1,0,0,1,0,1,0,0,0
"ZNF214",71,7,4,12,12,174,66,13,14,12
"ZNF215",99,83,379,350,6,342,74,99,43,50
"RBMXL2",0,0,0,0,0,0,0,0,0,0
"OLFML1",633,763,327,25,402,423,631,434,939,738
"OVCH2",0,0,0,0,0,0,0,0,0,0
"CYB5R2",79,189,41,76,81,166,48,67,84,57
"OR5P2",0,174,1,173,0,0,0,0,0,0
"OR5P3",0,0,0,0,0,0,0,0,0,0
"NLRP10",0,0,0,0,0,0,0,0,0,0
"OR5E1P",0,0,0,0,0,0,0,0,0,0
"LOC283299",1,0,0,0,0,0,0,0,0,1
"OR10A6",0,0,0,0,0,0,0,0,0,0
"OR10A3",0,0,0,0,0,0,0,0,0,0
"EIF3F",2216,2620,3032,2311,2228,2359,2176,1878,3054,3853
"LOC101927917",0,0,0,0,0,0,0,0,0,0
"RIC3",970,941,1524,678,596,1309,769,934,750,1213
"RPL27A",9041,11122,10514,10636,9482,11140,10387,9051,11107,14209
"SNORA45B",26,10,20,11,17,10,18,29,17,12
"SNORA45A",8,1,3,14,4,1,4,14,10,40
"LOC102724784",36,24,38,78,41,129,26,63,16,80
"NRIP3",344,0,15,400,254,744,96,142,531,417
"AKIP1",1383,1494,2982,1442,1491,2324,1221,2369,1494,2018
"TMEM9B",3848,3495,5774,3676,5676,6084,3305,3366,4469,6056
"C11orf16",0,2,0,0,2,2,0,0,0,2
"ASCL3",0,0,0,0,0,0,0,0,0,0
"TMEM9B-AS1",282,33,37,4,22,37,9,39,54,65
"KRT8P41",1,8,7,13,5,6,2,1,1,8
"MIR5691",0,0,0,0,0,0,0,0,0,0
"ZNF143",1784,1257,2025,1376,1512,2040,605,1172,1900,1162
"SNORA23",17,14,11,22,0,11,3,1,3,3
"LOC644656",180,191,21,19,218,112,30,354,81,52
"WEE1",65,94,577,412,673,159,413,368,489,387
"LOC440028",1,0,2,17,0,0,0,0,22,4
"LOC101928008",0,9,7,4,5,0,1,3,0,0
"ADM",3504,1700,1691,3129,4522,2038,4905,5696,1758,3216
"LYVE1",665,0,0,331,331,0,3,993,3,6
"MTRNR2L8",66,63,88,66,86,63,56,54,77,87
"MIR4485",0,0,0,0,0,0,0,0,0,0
"RNF141",2052,1687,1572,1512,1424,2663,919,1456,1427,1842
"EIF4G2",40282,38580,31734,36130,31886,47490,34213,43335,31133,37397
"LOC101928053",1,22,16,9,10,15,6,3,69,131
"CTR9",3516,3432,2247,2995,4355,2716,2496,3555,2560,3371
"SNORD97",1,0,1,0,0,2,2,0,0,0
"ZBED5-AS1",1310,1475,1224,592,2478,1579,1707,1053,1317,1631
"CSNK2A3",523,689,330,496,180,475,560,609,356,289
"MIR4299",0,0,0,0,0,0,0,0,0,0
"MIR8070",0,0,0,0,0,0,0,0,0,0
"DKK3",3910,5130,8585,1159,4167,5013,3177,3889,5146,3454
"MIR6124",0,0,0,0,0,0,0,0,0,0
"RASSF10",0,0,0,0,0,0,0,0,0,0
"LINC00958",0,0,0,0,0,3,0,0,0,0
"BTBD10",3093,2076,2732,2178,3335,3039,1379,4599,1932,3800
"PTH",0,0,0,0,0,0,0,0,0,0
"FAR1",2744,2888,2159,1223,2390,2868,1236,2038,1772,2576
"RRAS2",99,413,358,426,633,607,169,143,314,326
"COPB1",8708,11245,11874,7542,8436,10788,6492,9238,10565,11207
"CYP2R1",403,1051,1036,352,209,353,231,246,539,460
"CALCA",71,71,21,1,71,75,71,0,121,75
"CALCB",3797,3629,9,30,3643,3631,3479,186,3544,1
"LOC102724957",0,0,0,0,0,0,0,0,0,0
"MIR6073",0,0,0,0,0,0,0,0,0,0
"RPS13",8150,9903,10576,9947,9484,9809,9629,8791,10215,13180
"OR7E14P",31,176,95,19,45,51,38,16,91,128
"KCNJ11",535,637,796,333,502,620,1198,638,1346,1003
"NCR3LG1",241,282,440,246,667,183,240,448,359,312
"OTOG",0,85,0,0,0,0,0,0,0,10
"KCNC1",156,96,131,66,32,106,22,22,157,8
"MYOD1",0,0,0,0,0,0,0,0,0,0
"TPH1",1,0,143,0,5,4,2,54,1,0
"MRGPRX4",0,0,0,0,0,0,0,0,0,0
"MRGPRX3",0,0,0,0,0,0,0,0,0,0
"SAAL1",2020,432,711,420,816,240,196,567,600,1022
"SAA3P",0,7,1,4,0,0,1,0,0,1
"HPS5",3217,1197,1526,3698,1837,4071,4237,3454,2983,998
"SAA1",37,373,10,307,0,29,11,2,0,9
"SAA2",0,83.5,11.5,6.5,3,47.5,0,0,1.5,21
"LOC494141",1,0,1,0,0,0,2,2,0,0
"SAA2-SAA4",0,0,0,0,0,0,0,0,0,0
"SAA4",0,0,0,0,0,0,0,0,0,0
"LDHA",12804,17721,12374,16008,10417,19703,10879,12389,16410,17945
"LDHC",67,0,6,2,0,0,173,0,65,65
"TSG101",7836,10836,9611,7246,8422,11820,9585,9522,9279,8631
"UEVLD",400,673,1207,157,210,486,220,363,198,378
"TMEM86A",2290,935,1535,3521,1416,3569,3059,3127,2218,1410
"SPTY2D1-AS1",7,32,94,51,49,32,24,46,61,67
"SPTY2D1",180,923,720,293,637,218,454,296,310,640
"PTPN5",0,0,1,0,0,0,0,0,0,0
"MRGPRX1",0,0,0,0,0,0,0,0,0,0
"MRGPRX2",0,0,0,0,0,0,0,0,0,0
"E2F8",1,0,0,0,0,0,30,0,0,0
"ZDHHC13",3383,2737,3323,2173,2424,2313,899,1619,2259,2451
"CSRP3",0,97,0,0,0,97,0,0,0,0
"NAV2-AS5",0,0,0,0,0,0,0,1,0,0
"MIR4486",0,0,0,0,0,0,0,0,0,0
"NAV2-AS4",0,0,0,0,0,0,0,0,0,0
"MIR4694",0,0,0,0,0,0,0,0,0,0
"LOC100126784",209,4,35,37,59,4,4,8,96,86
"NAV2-AS2",1,0,0,0,0,5,3,6,0,0
"DBX1",0,0,0,0,0,0,0,0,0,0
"HTATIP2",4371,5150,4517,5655,4112,7011,5501,4537,5109,5749
"SLC6A5",0,0,0,0,0,0,0,0,0,0
"SLC17A6",238,1119,709,774,986,1426,17,370,21,165
"LOC102723378",0,0,0,0,0,0,0,0,0,0
"FANCF",1155,1997,1365,1687,2601,2281,1470,1050,807,2312
"SVIP",4264,4236,5091,2906,3481,4527,3018,3366,3804,4581
"CCDC179",0,0,21,0,0,0,0,0,37,21
"MIR8054",0,0,0,0,0,0,0,0,0,0
"MUC15",1,46,395,149,141,16,6,11,264,161
"FIBIN",379,915,48,915,386,951,255,75,114,166
"CCDC34",149,218,465,155,517,468,250,591,335,376
"MIR8087",0,0,5,0,22,0,0,0,11,0
"LINC00678",0,0,0,0,0,0,2,0,0,0
"BDNF",317,74,107,89,76,217,87,341,56,75
"MIR610",0,0,0,0,0,0,0,0,0,0
"MIR8068",0,0,0,0,0,0,0,0,0,0
"KCNA4",0,0,0,0,0,0,0,0,0,0
"FSHB",0,0,0,0,0,0,0,0,0,0
"ARL14EP",1127,1143,1458,1274,1296,1715,760,1574,1082,1798
"DNAJC24",1101,452,531,343,295,341,398,338,487,912
"PAX6",10054,7504,11876,3244,9569,10120,9786,10228,8946,11816
"LOC100506675",79,54,41,84,50,131,66,88,48,71
"WT1",0,0,0,0,0,0,0,1,0,0
"WT1-AS",2,0,1,0,0,0,0,0,0,0
"EIF3M",8372,8571,7523,5342,7804,7413,5451,6608,7120,7236
"PRRG4",196,325,580,205,575,845,232,100,608,585
"QSER1",181,434,1465,394,260,250,326,365,435,265
"TCP11L1",852,441,969,810,169,2092,73,330,1836,1522
"DEPDC7",0,11,61,1,0,5,4,5,3,2
"LINC00294",186,101,367,112,210,355,382,271,74,306
"CSTF3-AS1",1,0,2,0,0,0,1,4,1,0
"C11orf91",155,31,97,175,28,202,4,80,198,162
"CD59",47922,64724,60293,49178,47814,64437,35157,47707,58581,73623
"LOC101928440",0,1,1,0,0,0,0,0,0,0
"FBXO3",3690,4985,5229,4236,5878,5030,2269,6793,3833,3764
"LMO2",352,311,542,456,1025,451,159,419,380,786
"NAT10",1881,2933,529,7513,2643,830,650,3465,2933,3934
"ELF5",0,0,0,0,0,0,0,0,0,0
"EHF",1363,3512,5871,4208,3089,3240,3698,1367,2547,3851
"MIR1343",0,0,0,0,0,0,0,0,0,0
"APIP",1199,1132,1349,863,1313,878,1145,933,1210,1326
"CD44",6714,23690,15909,23856,15235,29628,8699,4025,16632,24952
"LOC100507144",0,0,0,13,0,0,13,1,83,84
"FJX1",422,173,406,372,581,30,131,144,94,392
"MIR3973",0,0,0,0,0,0,0,0,0,0
"TRAF6",1552,1661,2171,1650,2851,1974,722,1750,1028,2178
"C11orf74",1026,1735,1106,988,959,880,667,960,917,682
"RAG1",2,144,0,4,1,0,0,0,0,48
"RAG2",0,0,0,0,0,0,0,35,0,0
"LOC101928536",0,0,0,0,0,0,0,0,0,0
"LOC100507205",0,0,0,0,33,5,0,0,1,0
"API5",3130,3487,3742,1847,2596,3718,2148,3280,3488,3769
"HNRNPKP3",8,14,8,12,11,5,1,5,10,8
"MIR670",0,0,2,4,0,2,0,0,0,0
"MIR129-2",0,0,0,0,0,0,0,0,0,0
"C11orf96",1576,1145,2619,309,1772,494,3103,842,2043,1313
"SEC14L1P1",142,45,106,195,124,213,110,156,141,250
"ALKBH3-AS1",0,22,2,1,5,5,6,2,94,42
"ACCS",3079,698,1165,2892,544,3100,2820,3005,1448,643
"ACCSL",0,0,0,0,0,0,4,0,0,5
"CD82",8875,10982,6007,11023,8843,7726,7841,13931,7822,12777
"LOC221122",0,0,0,0,0,0,0,0,0,0
"SYT13",2569,1849,2223,1535,3941,1811,1387,2342,1658,2020
"LOC101928812",3,3,150,22,99,266,197,4,4,162
"LOC399886",0,0,0,0,0,0,0,0,0,0
"CHST1",10,2,4,4,3,1,14,222,230,241
"MIR7154",0,0,0,0,0,0,0,0,0,0
"SLC35C1",1176,1948,1333,957,1741,1978,1322,1139,2266,1905
"DKFZp779M0652",83,163,41,36,33,63,15,106,59,36
"MAPK8IP1",420,663,708,346,747,718,759,401,772,729
"PEX16",5533,2232,2497,5420,2162,5833,5314,7214,3717,4002
"C11orf94",0,0,0,0,31,56,0,0,0,0
"GYLTL1B",724,766,464,682,242,673,559,178,314,714
"LOC101928894",0,0,0,0,0,0,0,0,0,0
"CREB3L1",875,2297,2960,2828,1984,1034,2736,632,1620,2916
"MIR4688",0,0,0,0,2,0,0,0,0,0
"CHRM4",0,20,14,0,56,31,68,7,7,87
"MIR3160-2",0,0,0,0,0,0,0,0,0,0
"MIR3160-1",0,0,0,0,0,0,0,0,0,0
"MDK",5878,10372,8437,9731,5722,10172,7674,5445,7451,9784
"HARBI1",864,863,793,821,425,1443,67,204,752,468
"F2",0,0,0,0,0,0,0,0,0,0
"ZNF408",1240,1773,270,1211,911,372,750,1115,1441,1260
"ARHGAP1",6835,7000,7626,4981,7063,6059,6490,4610,9448,6318
"SNORD67",0,0,0,3,0,0,0,28,7,15
"MIR5582",0,0,0,0,0,0,0,0,0,0
"LRP4-AS1",73,33,7,0,35,33,45,2,36,2
"ACP2",4379,3408,5017,4718,1961,4516,5780,4278,3317,3209
"NR1H3",46,488,227,374,154,408,231,419,520,486
"LOC101928943",0,0,0,0,0,0,0,0,0,0
"PACSIN3",249,607,1021,808,573,441,521,404,544,624
"DDB2",1606,2668,873,8295,1942,748,1181,4402,2775,5009
"MIR6745",0,0,0,0,0,0,0,0,0,0
"SLC39A13",2293,3315,3594,2186,2655,2295,1863,2753,3029,4059
"PSMC3",11911,15376,10968,10051,11765,11609,8026,11328,9772,9962
"SPI1",0,0,0,0,1,5,76,0,0,7
"MYBPC3",0,0,2,286,1,165,0,0,70,0
"RAPSN",4,4,6,3,2,6,10,0,0,0
"CELF1",2925,3311,3032,3396,3281,3336,3196,3196,3536,5677
"PTPMT1",3847,3550,3573,3252,2405,4493,3409,3369,4608,3788
"NDUFS3",6245,5234,7116,4245,3169,7246,4969,5398,6828,6297
"FAM180B",0,0,0,0,0,0,0,1,0,0
"KBTBD4",848,488,936,672,750,1142,667,656,1105,1028
"MTCH2",6264,8001,7300,6688,8450,8450,5167,7943,6901,6466
"C1QTNF4",775,424,594,333,458,577,608,353,625,414
"FNBP4",3564,3500,3646,3609,3192,3950,3464,2952,2986,3729
"OR4B1",0,0,0,0,0,0,0,0,0,0
"OR4X2",0,0,0,0,0,0,0,0,0,0
"OR4X1",0,0,0,0,0,0,0,0,0,0
"OR4S1",0,0,0,0,0,0,0,0,0,0
"OR4C3",0,0,0,0,0,0,0,0,0,0
"OR4C45",0,0,0,0,0,0,0,0,0,0
"OR4A47",0,0,0,0,0,0,0,0,0,0
"TRIM49B",0,0,0,0,0,0,0,0,0,0
"TRIM64C",0,0,0,0,0,0,0,0,0,0
"FOLH1",36,0,50,67,116,0,0,274,55,287
"OR4C12",0,0,0,0,0,0,0,0,0,0
"OR4C13",0,0,0,0,1,0,0,0,0,0
"LOC441601",0,0,4,0,0,5,4,0,0,0
"LOC646813",0,0,0,0,1,1,0,0,0,0
"OR4A5",0,0,0,0,0,0,0,0,0,0
"OR4C46",0,0,0,0,0,0,0,0,0,0
"TRIM48",0,0,0,0,0,0,0,0,0,0
"TRIM51HP",0,0,0,0,0,0,0,0,0,0
"OR4A15",0,0,0,0,0,0,0,0,0,0
"OR4A16",0,0,0,0,0,0,0,0,0,0
"OR4C6",0,0,0,0,0,0,0,0,0,0
"OR4C16",0,0,0,0,0,0,0,0,0,0
"OR4C11",0,0,0,0,0,0,0,0,0,0
"OR4P4",0,0,0,0,0,0,0,0,0,0
"OR4S2",0,0,0,0,0,0,0,0,0,0
"OR4C15",0,0,0,0,0,0,0,0,0,0
"OR5D14",0,0,0,0,0,0,0,0,0,0
"OR5D13",0,0,0,0,0,0,0,0,0,0
"OR5D16",0,0,0,0,0,0,0,0,0,0
"TRIM51",0,0,0,0,0,0,0,0,0,0
"OR5I1",0,0,0,0,0,0,0,0,0,0
"OR5L2",0,0,0,0,0,0,0,0,0,0
"OR5L1",0,0,0,0,0,0,0,0,0,0
"OR5W2",0,0,0,1,0,0,0,0,0,0
"OR5D18",0,0,0,0,0,0,0,0,0,0
"OR10AG1",0,0,0,0,0,0,0,0,0,0
"OR5F1",0,0,0,0,0,0,0,0,0,0
"OR7E5P",0,0,0,0,0,1,0,0,0,0
"OR5AS1",0,0,0,0,0,0,0,0,0,0
"OR5J2",0,0,0,0,0,0,0,0,0,0
"OR8H3",0,0,0,0,0,0,0,0,0,0
"OR8H2",0,0,0,0,0,0,0,0,0,0
"OR8J3",0,0,0,0,0,0,0,0,0,0
"OR8K5",0,0,0,0,0,0,0,0,0,0
"OR8I2",0,0,0,0,0,0,0,0,0,0
"OR8H1",0,0,0,0,0,0,0,0,0,0
"OR8K3",0,0,0,0,0,0,0,0,0,0
"OR5T3",0,0,0,0,0,0,0,0,0,0
"OR5T2",0,0,0,0,0,0,0,0,0,0
"OR5T1",0,0,0,0,0,0,0,0,0,0
"OR8U8",0,0,0,0,0,0,0,0,0,0
"OR8J1",0,0,0,0,0,0,0,0,0,0
"OR8U1",0,0,0,0,0,0,0,0,0,0
"OR5R1",0,0,0,0,0,0,0,0,0,0
"OR8K1",0,0,0,0,0,0,0,0,0,0
"OR5M8",0,0,0,0,0,0,0,1,0,0
"OR5M11",0,0,0,0,0,0,0,0,0,0
"OR5M9",0,0,0,0,0,0,0,0,0,0
"OR5M3",0,1,0,0,0,0,1,0,0,0
"OR5M10",0,0,0,0,0,0,0,0,0,0
"OR9G1+OR9G9",0,0,0,0,0,0,0,0,0,0
"OR5M1",0,0,0,0,0,2,0,0,2,0
"OR5AR1",0,0,0,0,0,0,0,0,0,0
"OR5AP2",0,0,0,0,0,0,0,0,0,0
"MIR6128",0,0,0,0,0,0,0,0,0,0
"OR9G4",0,0,0,0,0,0,0,0,0,0
"OR5AK4P",0,0,0,0,0,0,0,0,0,0
"OR5AK2",0,0,0,0,0,0,0,0,0,0
"APLNR",0,0,0,1,0,0,0,0,0,0
"LRRC55",0,0,0,2,0,1,0,0,0,0
"P2RX3",0,0,0,0,0,0,0,0,0,0
"TNKS1BP1",545,1294,1535,1197,679,773,1682,524,1150,1390
"SSRP1",2335,2194,2472,1417,1428,2433,2539,2401,2073,2262
"SLC43A3",6609,6584,1930,20037,5992,6615,3408,9739,8134,9811
"PRG2",44,2,3,39,21,1,0,65,11,2
"RTN4RL2",131,165,600,344,419,118,308,233,349,521
"UBE2L6",4645,8754,7200,5963,6020,6829,4833,5975,5785,5500
"MIR130A",0,0,2,2,2,0,0,0,0,0
"SERPING1",3082,23372,16858,21259,24419,24405,8297,2283,7852,22989
"TIMM10",2917,3152,3861,2497,4206,3683,2732,1926,3771,3863
"SMTNL1",0,3,5,10,0,5,15,0,15,0
"CLP1",754,1216,1416,1159,1290,1256,626,480,1542,1068
"ZDHHC5",388,950,1161,742,495,874,686,720,1232,1877
"C11orf31",9421,9248,8693,10540,7939,9775,7923,9621,10093,10363
"MED19",1569,1073,2092,1426,2035,1193,1319,1378,1796,1824
"YPEL4",0,5,0,0,0,0,0,0,18,9
